leerling_id,toets_id,cijfer
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
2,1,10
2,2,9
2,3,8
2,4,7
2,5,6
2,6,5
2,7,4
2,8,3
2,9,2
2,10,1
3,1,2
3,2,2
3,3,4
3,4,4
3,5,6
3,6,6
3,7,8
3,8,8
3,9,10
3,10,10
4,1,1
4,2,1
4,3,3
4,4,3
4,5,5
4,6,5
4,7,7
4,8,7
4,9,9
4,10,9
5,1,10
5,2,10
5,3,8
5,4,8
5,5,6
5,6,6
5,7,4
5,8,4
5,9,2
5,10,2
6,1,9
6,2,9
6,3,7
6,4,7
6,5,5
6,6,5
6,7,3
6,8,3
6,9,1
6,10,1
7,1,1
7,2,1
7,3,1
7,4,1
7,5,1
7,6,1
7,7,1
7,8,1
7,9,1
7,10,1
8,1,2
8,2,2
8,3,2
8,4,2
8,5,2
8,6,2
8,7,2
8,8,2
8,9,2
8,10,2
9,1,3
9,2,3
9,3,3
9,4,3
9,5,3
9,6,3
9,7,3
9,8,3
9,9,3
9,10,3
10,1,4
10,2,4
10,3,4
10,4,4
10,5,4
10,6,4
10,7,4
10,8,4
10,9,4
10,10,4
11,1,5
11,2,5
11,3,5
11,4,5
11,5,5
11,6,5
11,7,5
11,8,5
11,9,5
11,10,5
12,1,6
12,2,6
12,3,6
12,4,6
12,5,6
12,6,6
12,7,6
12,8,6
12,9,6
12,10,6
13,1,7
13,2,7
13,3,7
13,4,7
13,5,7
13,6,7
13,7,7
13,8,7
13,9,7
13,10,7
14,1,8
14,2,8
14,3,8
14,4,8
14,5,8
14,6,8
14,7,8
14,8,8
14,9,8
14,10,8
15,1,9
15,2,9
15,3,9
15,4,9
15,5,9
15,6,9
15,7,9
15,8,9
15,9,9
15,10,9
16,1,10
16,2,10
16,3,10
16,4,10
16,5,10
16,6,10
16,7,10
16,8,10
16,9,10
16,10,10
